DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200001;Schrankenberggasse;Wien;90001;16.3898073;48.1738011
60200002;Achengasse;Wien;90001;16.4488985;48.2845258
60200003;Ada-Christen-Gasse;Wien;90001;16.3859535;48.1528656
60200004;Adam-Betz-Gasse;Wien;90001;16.5351906;48.2156106
60200005;Adamovichgasse;Wien;90001;16.3378397;48.1421668
60200006;Adolf-Loos-Gasse;Wien;90001;16.4542255;48.2775554
60200007;Adolf-Unger-Gasse;Wien;90001;16.3858816;48.1486762
60200008;Afritschgasse;Wien;90001;16.4517371;48.2469602
60200009;Agavenweg;Wien;90001;16.5071991;48.2510698
60200010;Neustift, Agnesgasse;Wien;90001;16.3075935;48.2504297
60200011;Aignerstraße;Wien;90001;16.3749761;48.2461108
60200012;Auf der Schmelz;Wien;90001;16.3166485;48.2035239
60200013;Morzinplatz;Wien;90001;16.374491;48.2131144
60200014;Alaudagasse;Wien;90001;16.3823243;48.1538904
60200015;Albern;Wien;90001;16.4849299;48.1600507
60200016;Alberner Hafen;Wien;90001;16.4946317;48.1584927
60200017;Alberner Hafenzufahrtsstr.;Wien;90001;16.4724792;48.1720937
60200018;Alberner Straße;Wien;90001;16.4845616;48.1561796
60200019;Albertgasse;Wien;90001;16.3440381;48.2106062
60200020;Albertinaplatz;Wien;90001;16.3685352;48.2049608
60200021;Carminweg;Wien;90001;16.4210597;48.2531812
60200022;Algenweg;Wien;90001;16.5314806;48.2487967
60200023;Allerheiligengasse;Wien;90001;16.3871662;48.2380821
60200024;Allissen;Wien;90001;16.4301686;48.286349
60200025;Alois-Behr-Straße;Wien;90001;16.2410552;48.2056074
60200026;Alsegger Straße;Wien;90001;16.324365;48.2316857
60200027;Alser Straße;Wien;90001;16.3419989;48.2171429
60200028;Aichholzgasse;Wien;90001;16.324347;48.1803244
60200029;Nußdorfer Str./Alserbachstr.;Wien;90001;16.3543148;48.2246482
60200030;Altdorferstraße;Wien;90001;16.3493741;48.1686968
60200031;Alte Donau;Wien;90001;16.4242307;48.2379564
60200032;Aichholzgasse/Ratschkygasse;Wien;90001;16.3236104;48.177599
60200033;Altes Landgut;Wien;90001;16.3833843;48.162106
60200034;Althanstraße;Wien;90001;16.359552;48.2288373
60200035;Breitenfurter Str./Altmannsdorfer Str.;Wien;90001;16.3166125;48.1655993
60200036;Pfeiffenbergergasse;Wien;90001;16.2610068;48.1946622
60200037;Am Fasangarten;Wien;90001;16.3045931;48.171255
60200038;Zanggasse;Wien;90001;16.4844448;48.2388
60200039;Am Heidjöchl;Wien;90001;16.4887208;48.2368077
60200040;Am Himmelreich;Wien;90001;16.4381726;48.1639096
60200041;Am Hundsturm;Wien;90001;16.3481704;48.1876795
60200042;Am Kanal;Wien;90001;16.4101002;48.1700208
60200043;Am Kanal/Hasenleitengasse;Wien;90001;16.4184276;48.1636759
60200044;Am Modenapark;Wien;90001;16.3826208;48.1990992
60200045;Am Platz;Wien;90001;16.3014849;48.1860564
60200046;Am Rosenhügel;Wien;90001;16.2908938;48.1618783
60200047;Reichsbrücke;Wien;90001;16.4097409;48.2283347
60200048;Am Schöpfwerk;Wien;90001;16.3246076;48.1612312
60200049;Am Spiegeln;Wien;90001;16.2821981;48.1522782
60200050;Am Spitz;Wien;90001;16.3973801;48.2582053
60200051;Am Tabor;Wien;90001;16.3834742;48.2251031
60200052;Fünfhausgasse;Wien;90001;16.3354412;48.1890869
60200053;Gesundheitszentrum Süd;Wien;90001;16.3451341;48.169907
60200054;Ameisbachzeile;Wien;90001;16.2922592;48.201135
60200055;Ameisgasse;Wien;90001;16.2995176;48.1938538
60200056;Neubaugasse;Wien;90001;16.3502006;48.1982909
60200057;Ammerweg;Wien;90001;16.2604319;48.2185136
60200058;Amongasse;Wien;90001;16.4694519;48.2301838
60200059;An den Steinfeldern;Wien;90001;16.2981162;48.1373112
60200060;An den alten Schanzen;Wien;90001;16.4898437;48.2263838
60200061;An den langen Lüssen;Wien;90001;16.3419091;48.2526549
60200062;An der Bien;Wien;90001;16.4794951;48.207134
60200063;An der Niederhaid;Wien;90001;16.2697385;48.2041346
60200065;Liebhartstal;Wien;90001;16.2919089;48.2157482
60200066;Angermayergasse;Wien;90001;16.2649235;48.1843914
60200067;Anschützgasse;Wien;90001;16.3230535;48.1903745
60200068;Anton-Bosch-Gasse;Wien;90001;16.3875166;48.2694419
60200069;Anton-Böck-Gasse;Wien;90001;16.3897803;48.2964021
60200070;Anton-Krieger-Gasse;Wien;90001;16.2703852;48.1428202
60200071;Doningasse;Wien;90001;16.4410562;48.2516201
60200072;Anton-Störck-Gasse;Wien;90001;16.3860882;48.2648674
60200073;Antonigasse;Wien;90001;16.3297818;48.2259529
60200074;Anzengruberstraße;Wien;90001;16.2239513;48.2139585
60200075;Apostelgasse;Wien;90001;16.3981347;48.2004883
60200076;Liesing Aquädukt;Wien;90001;16.2720202;48.1337201
60200077;Arbeitergasse/Gürtel;Wien;90001;16.3459605;48.184056
60200078;Arbeiterinnenstrandbad;Wien;90001;16.4140169;48.2432572
60200079;Argentinierstraße;Wien;90001;16.3767368;48.1885479
60200080;Armbrustergasse;Wien;90001;16.3548898;48.2538571
60200081;Arminenstraße;Wien;90001;16.4375887;48.2362811
60200082;Arndtstraße;Wien;90001;16.3369504;48.1836487
60200083;Breitenleer Str./Arnikaweg;Wien;90001;16.4801059;48.2514765
60200084;Arsenal;Wien;90001;16.384624;48.1838044
60200085;Artariastraße;Wien;90001;16.2813447;48.2424436
60200086;Arthaberplatz;Wien;90001;16.3721644;48.1724951
60200087;Artillerieplatz;Wien;90001;16.4727218;48.1639455
60200088;Aspernallee;Wien;90001;16.4451435;48.1970454
60200089;Asperner Heldenplatz;Wien;90001;16.4831782;48.2168316
60200090;Frederick-Loewe-Weg;Wien;90001;16.4816331;48.2380462
60200092;Atzgersdorf Friedhof;Wien;90001;16.2979456;48.14303
60200093;Atzgersdorf Kirchenplatz;Wien;90001;16.2942714;48.1476154
60200094;Atzgersdorf;Wien;90001;16.2887468;48.1472617
60200095;An der Liesing;Wien;90001;16.264097;48.1389478
60200096;Atzgersdorfer Straße;Wien;90001;16.2963645;48.1705121
60200098;Auernheimergasse;Wien;90001;16.5181136;48.2031467
60200099;Augasse;Wien;90001;16.357441;48.229711
60200100;Broßmannplatz;Wien;90001;16.3986108;48.2518474
60200101;Aumannplatz;Wien;90001;16.3365641;48.2281611
60200102;Autokaderstraße;Wien;90001;16.3880106;48.2774477
60200103;Aßmayergasse;Wien;90001;16.337714;48.1787251
60200104;Bacherplatz;Wien;90001;16.3568571;48.1882424
60200105;Badeteich Süßenbrunn;Wien;90001;16.486448;48.2773342
60200106;Badgasse;Wien;90001;16.2239962;48.2090138
60200107;Rettichgasse;Wien;90001;16.2623813;48.2015481
60200108;Duchekgasse;Wien;90001;16.5174579;48.2085529
60200109;Barawitzkagasse;Wien;90001;16.3556803;48.2446212
60200110;Barichgasse;Wien;90001;16.3950265;48.1980454
60200111;Morelligasse;Wien;90001;16.4041354;48.2504297
60200112;Bauernfeldplatz;Wien;90001;16.3607198;48.2208777
60200113;Linzer Str./Hochsatzengasse;Wien;90001;16.2771046;48.1968538
60200114;Baumgartner Friedhof;Wien;90001;16.2790001;48.2015541
60200115;Baumgasse;Wien;90001;16.4047552;48.1932909
60200116;Nußdorf, Beethovengang;Wien;90001;16.3630554;48.259545
60200117;Belgradplatz;Wien;90001;16.3607378;48.1742803
60200118;Bellevuestraße;Wien;90001;16.3285242;48.2486711
60200119;Jedlesee, Bellgasse;Wien;90001;16.3871662;48.2622481
60200120;Belvederegasse;Wien;90001;16.3719577;48.1901469
60200121;Benatzkygasse;Wien;90001;16.4395739;48.2301897
60200122;Berggasse;Wien;90001;16.3617349;48.2180646
60200123;Bergmillergasse;Wien;90001;16.2567758;48.2013745
60200124;Yppengasse;Wien;90001;16.3356658;48.2147127
60200125;Theodor-Körner-Gasse;Wien;90001;16.4076568;48.2497179
60200127;Fernkorngasse;Wien;90001;16.3633339;48.1740766
60200128;Bernreiterplatz;Wien;90001;16.4063453;48.2814054
60200129;Mühlschüttel;Wien;90001;16.4107919;48.2492513
60200130;Berzeliusgasse;Wien;90001;16.4104955;48.2756542
60200131;Beschußamt;Wien;90001;16.4339954;48.1773833
